,Source Account,Text,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
53,BBC News (World),Canada says it is using DNA websites to identify some migrants https://t.co/r0DMkoIp9M,Tue Jul 31 22:01:07 +0000 2018,0.0,0.0,1.0,0.0,54
54,BBC News (World),Airliner crashes in Mexico - reports https://t.co/4omqnDT7gZ,Tue Jul 31 21:43:38 +0000 2018,0.0,0.0,1.0,0.0,55
55,BBC News (World),"RT @BBCBreaking: Plane with at least 80 on board crashes in Mexican city of Durango, local media report https://t.co/BrNF7LDkq8",Tue Jul 31 21:42:30 +0000 2018,0.0,0.0,1.0,0.0,56
56,BBC News (World),South Africa to amend constitution to allow land expropriation https://t.co/uPKuWAejmT,Tue Jul 31 21:28:39 +0000 2018,0.226,0.174,0.826,0.0,57
57,BBC News (World),'A horrendous battle': Dry conditions fuel California wildfires https://t.co/lipl6doKJX,Tue Jul 31 21:10:47 +0000 2018,-0.586,0.0,0.678,0.322,58
58,BBC News (World),The unlikely US box office stars https://t.co/28KqKfpark,Tue Jul 31 19:44:26 +0000 2018,0.0,0.0,1.0,0.0,59
59,BBC News (World),The face behind a stock image: How I gave away my face for free https://t.co/30VPyr7uqN,Tue Jul 31 19:01:02 +0000 2018,0.511,0.216,0.784,0.0,60
60,BBC News (World),"RT @BBCNorthAmerica: Calling all mothers! We’re working on a video about going back to work after having a baby, and we want to hear about…",Tue Jul 31 18:54:46 +0000 2018,0.151,0.067,0.933,0.0,61
61,BBC News (World),Central African Republic: Russian journalists die in ambush https://t.co/20UsopoIQL,Tue Jul 31 18:13:36 +0000 2018,-0.599,0.0,0.672,0.328,62
62,BBC News (World),Vancouver man shoved into oncoming traffic https://t.co/FxaOTk1B7y,Tue Jul 31 17:10:53 +0000 2018,0.0,0.0,1.0,0.0,63
63,BBC News (World),"Car crush TV 😱

60 luxury vehicles destroyed in Philippines smuggling crackdown https://t.co/B7JqzYrWT8 https://t.co/dWA5sY3GsM",Tue Jul 31 16:31:23 +0000 2018,-0.914,0.0,0.467,0.533,64
64,BBC News (World),Florida paramedics 'racially profiled' dying woman https://t.co/Qc2Jm2KD8K,Tue Jul 31 16:17:37 +0000 2018,0.0,0.0,1.0,0.0,65
65,BBC News (World),Full story: Shark 'recovering' after aquarium pram kidnap https://t.co/NjP7ki3LNh,Tue Jul 31 15:54:56 +0000 2018,0.0,0.0,1.0,0.0,66
66,BBC News (World),"Disguised as a baby and stolen from an aquarium 🦈

Now Miss Helen the horn shark is back where she belongs https://t.co/W6oQaqiiY1",Tue Jul 31 15:41:32 +0000 2018,-0.71,0.0,0.723,0.277,67
67,BBC News (World),"RT @BBCNorthAmerica: Have you been asked to relinquish your duties as a bridesmaid? Or, have you disinvited your bridesmaid or a guest from…",Tue Jul 31 15:38:52 +0000 2018,0.0,0.0,1.0,0.0,68
